id,intent,text
1,ask_service_list,What services do you offer?
2,ask_service_list,I want to know everything your company offers.
3,ask_service_list,Give me an overview of your solutions.
4,ask_service_list,What types of projects do you usually work on?
5,ask_service_list,List the categories of services you provide.
6,ask_service_list,Can you briefly tell me your main service areas?
7,ask_service_list,What services are available if I work with you?
8,ask_service_list,What kind of solutions does your team build?
9,ask_service_list,Tell me about your different service lines.
10,ask_service_list,Show me a summary of your core services.
11,ask_service_list,What all can you do for my business?
12,ask_service_list,What kind of development or AI services do you provide?
13,ask_service_list,Show me all the services you provide.
14,ask_service_list,What does your company do?
15,ask_service_list,What does Prismetric specialize in?
16,ask_service_list,Give me your complete service list.
17,ask_service_list,What solutions does Prismetric have?
18,ask_service_list,Tell me the range of services you provide.
19,ask_service_list,Can you list out all your services?
20,ask_service_list,What are your main offerings?
21,ask_service_details,What is covered if I choose Chatbot Development?
22,ask_service_details,Can you explain what your AI consulting service includes?
23,ask_service_details,What do you offer under Data Engineering exactly?
24,ask_service_details,How does your Computer Vision service help clients?
25,ask_service_details,What is included in your Enterprise AI Development offering?
26,ask_service_details,What do you mean by AI Agent Development?
27,ask_service_details,Can you tell me more about your LLM development service?
28,ask_service_details,Explain what your Mobile App Development service provides.
29,ask_service_details,Describe your NLP services in more detail.
30,ask_service_details,I want more details on your AI Integration services.
31,ask_service_details,What is RAG as a Service?
32,ask_service_details,What is Machine Learning Development?
33,ask_service_details,Explain your Web Development service.
34,ask_service_details,What does Data Engineering mean?
35,ask_service_details,Can you describe your Chatbot Development service?
36,ask_service_details,What do you do in AI Integration services?
37,ask_service_details,Give me details of Computer Vision service.
38,ask_service_details,What does your SaaS app development include?
39,ask_service_details,Explain Enterprise AI Development.
40,ask_service_details,Tell me about AI Development.
41,ask_ai_services,Are there any advanced AI services you specialize in?
42,ask_ai_services,Show me all your AI development offerings.
43,ask_ai_services,Do you build AI applications?
44,ask_ai_services,List your artificial intelligence services.
45,ask_ai_services,What ML/AI solutions do you offer?
46,ask_ai_services,Do you provide generative AI services?
47,ask_ai_services,Tell me all services under your AI category.
48,ask_ai_services,What AI services do you provide?
49,ask_ai_services,Do you provide end-to-end AI solutions?
50,ask_ai_services,Show me only the AI-related services you have.
51,ask_ai_services,"I am interested in your AI capabilities, what can you do?"
52,ask_ai_services,Do you develop NLP or LLM solutions?
53,ask_ai_services,Can you list your AI and machine learning service offerings?
54,ask_ai_services,Which of your services are focused on artificial intelligence?
55,ask_ai_services,Can you show me all AI-related capabilities?
56,ask_ai_services,What AI modules can you build for clients?
57,ask_ai_services,What AI related services can support my product?
58,ask_ai_services,Do you have any services for building LLM-based systems?
59,ask_ai_services,What AI and ML services are part of your offerings?
60,ask_ai_services,I want to see just your AI service options.
61,ask_development_services,Do you create both web and mobile applications?
62,ask_development_services,Can you help me with custom software development?
63,ask_development_services,Do you build SaaS platforms for startups?
64,ask_development_services,I need a website and an app; can you do both?
65,ask_development_services,Show me your software and app development services.
66,ask_development_services,What kind of application development do you provide?
67,ask_development_services,Do you develop e-commerce platforms from scratch?
68,ask_development_services,Do you have any services for SaaS app development?
69,ask_development_services,What are your core development offerings?
70,ask_development_services,What development services do you have besides AI?
71,ask_development_services,Do you build mobile apps?
72,ask_development_services,What kind of web development do you offer?
73,ask_development_services,Provide all your development-related services.
74,ask_development_services,Tell me your software development capabilities.
75,ask_development_services,What technologies do you use for app development?
76,ask_development_services,Can you build an e-commerce site?
77,ask_development_services,What development solutions do you specialize in?
78,ask_development_services,List your mobile and SaaS development services.
79,ask_development_services,Show me all your development services.
80,ask_development_services,Do you develop software for businesses?
81,ask_industry_solutions,Tell me industry-wise service categories.
82,ask_industry_solutions,What industry verticals do you support?
